Code INSEE,Probabilité
22001,0.4262800815316747
22002,0.4250922136202451
22003,0.27015104466185386
22004,0.5354937734259159
22005,0.4561751055398462
22006,0.27015104466185386
22008,0.27714953035504825
22009,0.4322888352582604
22011,0.4606274709203739
22012,0.4798104084065904
22013,0.5088026325200414
22014,0.4798104084065904
22015,0.4465120800729989
22016,0.26312322721623194
22018,0.254520251919338
22019,0.4034601323503141
22020,0.5812740856468885
22021,0.4798104084065904
22023,0.4220600935786703
22024,0.4542895007189407
22025,0.4778818023177557
22026,0.4393879204620968
22027,0.47102911733182756
22028,0.5140781146611699
22029,0.4439472708836181
22030,0.48316846406002045
22031,0.46471442989404477
22032,0.5779967234852685
22033,0.47438176102418844
22034,0.49578498568509854
22035,0.4798104084065904
22036,0.21724286833019005
22037,0.43952475189205276
22039,0.27714953035504825
22040,0.2675071894459502
22041,0.43621401043303265
22042,0.4278844931401021
22043,0.4322888352582604
22044,0.44983861841905226
22045,0.40298587190891616
22046,0.5838499358410363
22047,0.4649228670205954
22048,0.5627009389659083
22049,0.4702176763612327
22050,0.5736163840766213
22052,0.4176918278019456
22053,0.4322888352582604
22054,0.5244003328578618
22055,0.5690979842398505
22056,0.5359910963777914
22057,0.23151893614937638
22059,0.4798104084065904
22060,0.460950572010319
22061,0.4552813306698614
22062,0.4355928028705632
22063,0.4488846124925179
22064,0.42641173058064535
22065,0.4522143849821717
22067,0.5310302155988409
22068,0.4561751055398462
22069,0.4488846124925179
22070,0.5310302155988409
22071,0.4798104084065904
22072,0.43952475189205276
22073,0.42132777370710267
22074,0.4668683220621328
22075,0.48316846406002045
22076,0.49100917751594153
22077,0.4542808005676693
22079,0.5124672547638739
22081,0.5736163840766213
22082,0.29257076185978875
22083,0.44489213640582403
22084,0.5442403728424934
22085,0.25341237533821664
22086,0.4215016786234458
22087,0.4465635784748402
22088,0.4176918278019456
22090,0.4798104084065904
22091,0.27015104466185386
22092,0.43952475189205276
22093,0.5838499358410363
22094,0.4971586949678017
22095,0.24611259873544628
22096,0.2733127756912357
22097,0.4511336276536152
22098,0.4465120800729989
22099,0.4370257789468733
22101,0.44983861841905226
22103,0.274462940327439
22104,0.27765593772050573
22105,0.4798104084065904
22106,0.5703233902930959
22107,0.49029480881833143
22108,0.24620367419764408
22109,0.2675071894459502
22110,0.2675071894459502
22111,0.2706494523399721
22112,0.4522143849821717
22113,0.5838499358410363
22114,0.4708435274857081
22115,0.4439472708836181
22116,0.4488917427639848
22117,0.4798104084065904
22118,0.5736163840766213
22119,0.4576102101637094
22121,0.4984083685320796
22122,0.43397279218921236
22124,0.4355928028705632
22126,0.399754055318903
22127,0.515111466393104
22128,0.44727014229269296
22129,0.25596560599742274
22131,0.43657646949227463
22132,0.4542895007189407
22133,0.4246106245140489
22134,0.5690979842398505
22135,0.5054406502632811
22136,0.5805781874290394
22137,0.4654096581199083
22138,0.44727014229269296
22139,0.43621401043303265
22140,0.38753262541217104
22141,0.26140811179635515
22143,0.4984083685320796
22144,0.4278844931401021
22145,0.4172596959177336
22146,0.4442683089660584
22147,0.5838499358410363
22148,0.39835263919040853
22149,0.4306717361453278
22150,0.47102911733182756
22152,0.48316846406002045
22153,0.24999570348351038
