,Régression logistique sans sur-échantillonnage,Régression logistique avec SMOTE,Régression logistique avec RandomOverSampler,Régression logistique avec ADASYN,Régression logistique avec BorderlineSMOTE
AUC-ROC,0.6,0.589,0.593,0.579,0.595
AUC-PR,0.228,0.21,0.231,0.217,0.227
F1-score,0.05,0.26,0.188,0.273,0.283
Balanced accuracy,0.509,0.542,0.53,0.554,0.568
