,Gradient Boosting sans sur-échantillonnage,Gradient Boosting avec SMOTE,Gradient Boosting avec RandomOverSampler,Gradient Boosting avec ADASYN,Gradient Boosting avec BorderlineSMOTE
0,0.638,0.65,0.654,0.623,0.61
1,0.257,0.275,0.26,0.24,0.242
2,0.618,0.502,0.504,0.54,0.795
3,0.085,0.228,0.265,0.247,0.197
4,0.086,0.075,0.11,0.116,0.108
5,0.516,0.536,0.554,0.551,0.538
6,0.985,0.857,0.847,0.888,0.934
7,0.049,0.075,0.11,0.114,0.098
