code_insee,beneficiaire_trans_eco,moyenne_conso_agri_hab,moyenne_conso_indus_hab,moyenne_conso_tertiaire_hab,moyenne_conso_residentiel_hab,moyenne_conso_totale_hab,emissions_ges,nb_actes_france_renov,friche,ecoquartiers,part_residences_secondaires,beneficiaire_prog,climat,gridens7,superf_choro,departement,gare_tgv,part_trajets_voiture,med_disp,p_pop,CSP_maire,com_variation_encours_dette_ha_pct,part_inactifs,part_actifs,dependance_eco,abstention_municipales,taux_creation_ent,total_entreprises,part_licencies_sportifs,part_jeunes_sans_diplome
22043,0,3.233353811722949,0,0.0937016835208404,4.8532538290513605,8.180309324295152,8425,25,0,0,18.7,0,Autre,7,16.35,22,0,50,18750,209,12,-24,17.22488038277512,39.71291866028708,127,35.8,9.1,11,21.052631578947366,0
22044,0,0.716648001087367,0.09293492496705616,0.2697169867855199,2.960210938435041,4.053893913332812,7656,88,0,0,3.1,0,Autre,5,8.02,22,0,95.4,23750,1792,77,-16.6,13.058035714285715,48.939732142857146,99,52.3,16,75,27.455357142857146,8.4
22045,0,1.214256093967513,0,0.11497368872545906,3.7526950201877187,5.081924802880691,4087,8,1,0,5.3,0,Autre,7,12.26,22,0,97,22200,363,77,83.6,13.498622589531681,50.13774104683195,105,35.8,0,17,30.303030303030305,8.3
22046,1,0.8026772383100563,11.812690477402215,0.499007308522498,3.857577694054976,16.992429735943254,98074,599,11,0,14.5,1,Autre,6,163.23,22,0,82.8,20570,6412,33,48.7,13.209606986899564,44.0268247036806,119,57.5,19.2,287,15.67373674360574,13.6
22047,0,0.24797251422818054,0.045645935782020905,0.8178557408987882,4.265218174390715,5.427458499979898,7369,121,1,0,12.8,1,Autre,6,13.8,22,0,85.7,19620,922,12,55.9,14.967462039045554,38.82863340563991,147,22.1,10.3,68,25.16268980477224,15.9
22048,0,0.7161489080635652,0.6577921926921789,0.30513962702721303,3.6222383187682685,5.308782994673451,16311,175,5,0,12.3,0,Autre,6,41.74,22,0,91.1,21390,2223,75,-87.3,15.474583895636526,45.659019343229865,111,64.7,10.7,131,14.035087719298245,8.3
22049,1,0.8478550471463313,17.25072482026544,0.752340515406891,3.408115084373995,22.27110294643676,37219,111,2,0,18.8,0,Mer,5,18.21,22,0,78.7,21980,1643,85,77.2,11.320754716981133,41.32684114424833,149,33,13.2,91,25.684723067559347,9.6
22050,1,4.274683153439802e-4,0.1488038414060411,1.646953966832973,2.907583349382374,4.743997972641233,36143,903,8,0,7.3,0,Autre,2,8.71,22,1,72.5,22480,14682,34,-15.9,15.74036234845389,41.01621032556872,128,57.3,13.2,1397,22.43563547200654,9.9
22052,1,1.3496945717696327,0,0.08317532440923404,4.171970812969122,5.6048407091479895,9244,0,0,0,24.3,0,Autre,7,21.59,22,1,81.5,20310,376,74,9,13.297872340425531,41.755319148936174,139,27,6.1,33,14.361702127659576,0
22053,0,0.8121222935735765,0,0.6354942099426738,4.091694382021758,5.5821126428059,13128,42,1,0,12.3,0,Autre,7,21.21,22,0,85.4,18320,682,74,-60,12.903225806451612,36.36363636363637,165,39.3,16.2,37,10.997067448680351,20
22054,0,0.18403850709238578,0.3589761900153738,2.408381405657577,6.100540487765036,9.097107187299859,15581,295,9,0,56.7,0,Mer,6,26.46,22,0,82.7,24520,3916,37,-45.2,13.04902962206333,31.409601634320733,210,38,10.1,345,35.5464759959142,8.7
22055,1,0.019954253857002276,0.4022161260458313,1.311140664676515,4.082939335532107,5.851377087312549,19609,558,6,0,31.1,0,Mer,3,15.34,22,0,87.7,25400,6862,31,-74.5,13.960944331098805,36.70941416496648,165,50.6,15.6,571,32.424948994462255,5.9
22056,0,0.18521761720508917,0.03131120101103278,1.1104698799007617,3.5640099282439226,4.911871729727581,9737,186,1,0,8.4,1,Autre,5,23.56,22,0,80.6,21180,1783,31,-10.5,12.282669657879977,43.69040942232193,120,32.6,8.7,138,12.955692652832305,3.5
22057,0,0.5311305146031134,0,0.05498676900137168,3.288403109650282,3.874520393254767,2530,8,3,0,17.6,0,Autre,7,7.55,22,0,91.2,20250,400,74,-24.8,8.25,46,115,20.2,4.5,22,12.5,12.5
22059,0,3.308585585133644,0.6476532214302685,0.5282855761074143,3.192708318774062,7.6990752565925735,16000,85,0,0,2,0,Autre,6,20.54,22,0,89.1,22430,1403,12,-31.8,14.183891660727014,48.68139700641482,108,49.2,23.3,43,24.019957234497504,2.2
22060,0,0.7068784902658439,0,0.1556690447917859,3.8326258499938435,4.7743855268601445,13273,63,0,0,8.5,0,Autre,6,16.71,22,0,79.6,20440,619,77,41.9,16.15508885298869,44.4264943457189,121,46.4,20.8,24,26.978998384491113,6.8
22061,0,0.8280923390173069,12.597932514020396,0.9497017292371218,4.192133166260501,18.60378560618952,29394,70,1,0,19.7,1,Autre,7,79.93,22,0,84.3,20350,1350,74,-59.2,14.592592592592593,46.74074074074074,103,27.5,21.5,79,14.222222222222221,7.2
22062,0,2.494741907262855,0,0.2390888725426183,3.8637965199147586,6.597627299720231,9638,40,1,0,16.4,0,Autre,7,25.37,22,0,88.4,20910,543,37,-6.3,14.180478821362799,45.30386740331492,108,45.3,42.9,28,13.996316758747698,7.7
22063,0,0.2685984937202688,0,0.047725190654781195,3.5937250150605777,3.910048699435627,5023,13,1,0,22.2,0,Autre,6,11.83,22,0,85.7,19110,554,22,-36,13.537906137184116,46.3898916967509,107,53.2,8.3,24,28.51985559566787,4.8
22064,0,0.05440640939569538,0.2655500348912897,1.453755961850889,2.8132822948349916,4.6165283303910085,5040,24,5,0,16.3,1,Autre,6,6.41,22,0,72.1,20400,952,23,-20.7,26.260504201680675,23.844537815126053,206,42.5,23.9,46,6.8277310924369745,13.9
22065,0,1.1400431455175108,0.003113924642754619,0.1094502487416225,3.495520436642226,4.7601814011639485,17912,29,6,0,9.3,0,Autre,5,22.98,22,0,93.3,21620,1725,12,68.1,12.869565217391305,44.57971014492754,118,35.3,17.1,76,23.304347826086957,7.6
22067,0,0.09111566660500799,4.113820963655766,3.261761567324778,2.8562075681451016,10.366385580813777,14399,3,3,0,3,0,Autre,4,14.07,22,1,80.9,22210,2548,77,0.3,15.855572998430143,38.38304552590267,145,41.9,13.7,117,17.896389324960754,4.7
22068,0,0.7861772297179197,0.022206949846596574,0.8299094786994042,3.896367643479742,5.603724682829499,7126,38,0,0,9.8,0,Autre,6,7.95,22,0,86.1,21210,430,34,13.9,12.325581395348838,48.372093023255815,106,22.8,3.2,31,15.11627906976744,16
22069,0,1.5160045554502963,0,0,4.4821442491596715,5.9981488046099685,5118,29,1,0,20.1,0,Autre,6,7.39,22,0,86.7,21710,216,71,-87.7,14.814814814814813,44.44444444444444,110,32.6,0,13,11.11111111111111,0
22070,0,0,1.707361382725131,2.1836603623775495,2.753357953290297,6.682152259156075,19351,17,5,1,4,0,Autre,2,3.41,22,1,69.8,17630,7115,34,131,23.499648629655656,41.72874209416725,103,60.4,10.4,537,26.479269149683766,12.4
22071,0,2.0285272156145746,0.3978873249697682,0.4155319421635167,3.6937939715893178,6.535740454337176,11089,60,1,0,20.8,0,Autre,6,14.53,22,0,86.6,20260,718,54,-68.4,13.370473537604457,45.682451253481894,102,43.6,17.1,35,13.92757660167131,9.6
22072,0,0.5755123047575657,0.0062482977919191916,0.2263359043065587,4.525332881256837,5.381249995845011,14299,0,2,0,10.7,0,Autre,7,19.58,22,0,71.1,19670,405,74,-9.9,14.074074074074074,46.17283950617284,103,22.3,11.1,27,15.555555555555555,7.1
22073,0,4.487678816985092,2.7121513932894636,5.5084165954371755,4.225373004765166,16.957711052714778,14850,34,1,0,19,0,Autre,7,17.67,22,0,84.8,20630,373,78,-38.6,13.941018766756033,50.93833780160858,93,41.4,23.5,17,13.404825737265416,20.9
22074,0,4.696262674155867,0.45841840904762493,0.20670908885211656,4.106575362661388,9.504966284290349,21707,65,1,1,11.2,0,Autre,6,25.64,22,0,84.7,20320,645,71,-30,11.007751937984496,44.8062015503876,117,34,11.1,45,16.434108527131784,0
22075,0,1.4021881587591498,0.06155331246986438,0.15858765302799235,2.9159813005951465,4.581471745482799,8970,48,1,0,1.7,0,Autre,5,14.03,22,0,85.2,21520,724,37,26,16.16022099447514,45.44198895027624,101,40.3,11.8,17,20.718232044198896,20.7
22076,1,6.841494234184862,0.05616397796776755,0.26872085477819746,4.354380921578394,11.555471916429607,44544,105,1,0,16.7,0,Autre,6,31.65,22,0,89,21360,1328,71,-15.2,13.629518072289157,43.75,128,35.8,12.5,80,22.740963855421686,17.3
22077,0,4.230346255817611,6.532083169003296,0.13466068134319667,3.592775929824477,14.538994498809373,33632,54,1,0,9.8,0,Autre,6,29,22,0,85,21530,1201,12,-60.2,12.156536219816818,49.12572855953372,102,48.8,28.3,46,26.644462947543712,4.6
22079,0,0.4317630282420571,0.05031129158097721,0.2939031522597733,3.3094537379351587,4.094307071292849,22591,83,5,0,6.9,0,Autre,6,40.87,22,0,95,21430,2298,33,-30.7,12.532637075718014,46.692776327241084,109,52.5,17.2,93,23.150565709312446,4.8
22081,0,0.31822482727502677,0.3110732891788072,0.5791847352916435,3.0660400690564127,4.2919236532605645,22790,250,3,0,8.2,0,Mer,6,24.76,22,0,90.4,23390,4246,86,36.8,14.319359397079603,44.30051813471503,118,42,13.9,287,27.79086198775318,6.5
22082,0,0,0.7239768021495213,0.773388303596747,3.248359150738668,4.75272721693361,1722,50,1,0,4,0,Autre,5,3.37,22,0,95.1,22470,907,74,-67.4,12.458654906284455,47.188533627342885,120,47.7,26.3,38,43.550165380374864,5.7
22083,0,2.6873863676324494,0.9448341114471784,0.08805343058028231,4.027478407038041,7.766057686983908,24655,63,0,0,10.3,0,Autre,7,26.71,22,0,76.6,19720,674,71,-42.7,12.908011869436201,42.581602373887236,127,15.1,11.1,36,15.43026706231454,17.9
22084,1,0.8329655431182708,1.4580600363499125,0.6557351375568542,4.0050697264487916,6.967233887376963,24723,106,4,1,19.5,0,Autre,6,38.03,22,0,86.3,21470,2533,47,-27.1,12.238452427951046,46.624555862613505,115,38.8,17.9,151,17.647058823529413,12.8
22085,0,0.09140509896636029,0,0.019393681827651513,5.114358082966951,5.2251568637609624,1126,27,2,0,40.1,0,Mer,6,6.88,22,0,86.8,23230,288,38,-72.2,17.36111111111111,38.19444444444444,137,21.2,0,12,12.847222222222221,25.3
22086,0,0.03644269268291077,0.058071517153255106,0.12857943093925703,3.804950109008241,4.0475824716224436,3652,2,1,0,11.6,0,Autre,6,5.71,22,0,89.2,22290,655,54,26.5,12.366412213740457,49.16030534351145,107,53.6,5.8,52,14.50381679389313,19.3
22087,0,4.049426416928575,0.05188034256834399,0.08748849562789769,3.6241974717622476,7.842905265244591,17537,34,1,0,19.4,0,Autre,7,47.16,22,0,64.2,19770,654,74,-74.5,16.207951070336392,45.25993883792049,109,21.6,2.3,44,11.773700305810397,4.7
22088,0,1.9634821130142563,0,0.23737467263260997,4.1233540566017055,6.381487594219812,10361,1,2,0,19.7,0,Autre,7,21.88,22,0,77.1,18770,250,71,27.2,14.000000000000002,45.6,109,15.4,5.9,17,15.6,0
22090,0,0.7328766852654114,0.06622617032166167,0.1374384328451005,3.4110341260503434,4.351080230637499,5802,78,1,0,12.2,0,Autre,6,9.02,22,0,91.1,21070,1074,75,-34.4,12.104283054003725,45.2513966480447,120,37.4,6.4,78,21.69459962756052,14.3
22091,0,0.5058729537938881,0,0.10836654603494641,3.193025224118741,3.8072647239475748,1747,0,0,0,7.2,0,Autre,6,6.16,22,0,91.4,20820,436,77,-15.1,14.449541284403669,46.330275229357795,110,45.3,14.3,21,26.605504587155966,7.1
22092,0,1.067548067001116,0.10102603525980793,0.13889053071402194,4.779357465112134,6.113935119203549,7092,0,5,0,26,0,Autre,7,21,22,0,64.3,17510,269,12,-2.5,16.728624535315987,35.31598513011153,172,24.2,25,16,15.985130111524162,0
22093,0,0.5881449201436062,4.982412971628119,1.6857975425103189,3.359145423487735,10.649112692653652,188661,895,12,0,6.8,0,Mer,5,130.65,22,1,83.3,22920,16689,33,-14.2,14.56048894481395,44.24471208580502,119,47.5,12.7,1261,23.740188147881838,8.5
22094,0,0,0.07056652874351753,0.3346890728037744,6.69349015247329,7.1129032647661985,4569,113,0,0,59,0,Mer,4,6.69,22,0,80,26540,1582,52,-41.3,13.653603034134006,35.9039190897598,180,34.9,16.2,130,38.748419721871045,3.2
22095,0,0.6608881780407309,1.218422510822511,2.494638961038961,3.9557221197733554,8.32967176967556,2657,1,0,0,18.7,0,Autre,7,6.44,22,0,85.7,19710,175,11,-97.4,16.57142857142857,50.857142857142854,84,39.8,28.6,7,19.428571428571427,0
22096,0,0.2815877574429866,4.252658769009836,0.15065502373078876,3.7120117443339926,8.396913294517605,2165,34,1,0,10.7,0,Autre,6,3.55,22,1,79.4,19360,454,67,323.2,13.215859030837004,44.27312775330397,123,27.2,14.3,28,11.894273127753303,14.3
22097,0,0.98861010488193235,0.17154931823336778,0.13779787163549848,3.454132977849248,4.7520902726000465,3552,20,2,0,5.8,0,Autre,5,7.59,22,0,88.1,20750,726,21,-64.9,12.534435261707987,47.5206611570248,105,30.6,8.6,35,18.457300275482094,5.6
